experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.5,0.00456368993654,0.00351979166667,0.23685,0.23685,0.25795,14.9583,100675,27032,4737,5159,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.75,0.00259886672711,0.00181171875,0.1764,0.1764,0.19225,11.41875,57331,13914,3528,3845,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2,0.0017667724388,0.00119049479167,0.13465,0.13465,0.1459,8.95415,38975,9143,2693,2918,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.25,0.00131237533998,0.00086953125,0.10395,0.10395,0.11195,7.39245,28951,6678,2079,2239,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.5,0.000892157751587,0.000593359375,0.07625,0.07625,0.08135,6.10465,19681,4557,1525,1627,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,1.5,0.00621609247507,0.00452513020833,0.34725,0.34725,0.36085,11.4084,137127,34753,6945,7217,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,1.75,0.00417932910245,0.00296419270833,0.286,0.286,0.29665,8.6427,92196,22765,5720,5933,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2,0.00294954669084,0.00204153645833,0.23425,0.23425,0.2413,6.7789,65067,15679,4685,4826,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2.25,0.00228631006346,0.0015703125,0.19575,0.19575,0.20195,5.59815,50436,12060,3915,4039,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2.5,0.00169152311877,0.00117161458333,0.15075,0.15075,0.1543,4.67095,37315,8998,3015,3086,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,1.5,0.0142933333333,0.012408984375,0.6316,0.6316,0.65185,22.0506,274432,95301,12632,13037,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,1.75,0.00951708333333,0.008180078125,0.54155,0.54155,0.5576,16.44845,182728,62823,10831,11152,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,2,0.0067440625,0.00570794270833,0.46415,0.46415,0.4791,12.58875,129486,43837,9283,9582,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,2.25,0.00499390625,0.00418502604167,0.39505,0.39505,0.40715,9.7489,95883,32141,7901,8143,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,2.5,0.00368098958333,0.00308190104167,0.32185,0.32185,0.3303,7.4572,70675,23669,6437,6606,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,1.5,0.01524890625,0.013946875,0.7234,0.7234,0.7413,21.70585,292779,107112,14468,14826,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,1.75,0.0108534895833,0.00993997395833,0.6534,0.6534,0.66845,16.72585,208387,76339,13068,13369,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,2,0.00805802083333,0.00736184895833,0.5812,0.5812,0.59655,12.73835,154714,56539,11624,11931,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,2.25,0.00603744791667,0.005529296875,0.5123,0.5123,0.5256,9.77285,115919,42465,10246,10512,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,2.5,0.0045425,0.00416861979167,0.43105,0.43105,0.4418,7.74395,87216,32015,8621,8836,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.5,0.00186051677244,0.00160716145833,0.05285,0.05285,0.0551,10.1586,41043,12343,1057,1102,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.75,0.000580507706256,0.000453125,0.0313,0.0313,0.03245,7.7732,12806,3480,626,649,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2,0.000220670897552,0.000130078125,0.02005,0.02005,0.02085,6.3713,4868,999,401,417,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.25,0.000158839528558,9.6875e-05,0.0151,0.0151,0.0157,5.50965,3504,744,302,314,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.5,7.46146872167e-05,4.6875e-05,0.008,0.008,0.0082,4.711,1646,360,160,164,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,1.5,0.00232107887579,0.00212213541667,0.03375,0.03375,0.03525,8.5686,51203,16298,675,705,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,1.75,0.000523028105168,0.000415494791667,0.018,0.018,0.01855,6.44995,11538,3191,360,371,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2,0.000140616500453,8.29427083333e-05,0.009,0.009,0.00925,5.2114,3102,637,180,185,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2.25,0.000102855847688,4.9609375e-05,0.00725,0.00725,0.00735,4.4946,2269,381,145,147,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2.5,5.00906618314e-05,2.2265625e-05,0.0041,0.0041,0.0041,3.97785,1105,171,82,82,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,1.5,0.00363541666667,0.00269453125,0.1433,0.1433,0.14605,14.2801,69800,20694,2866,2921,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
