[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | ExtParityV2 | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | D_short_hotspot_QC_8x16_Z32 | AdaptiveStructV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | ExtParityV2 | EbN0=2
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp4_AdaptiveCore_R04 | D_short_hotspot_QC_8x16_Z32 | AdaptiveStructV2 | EbN0=2.25
saved exp4_results.csv rows=72
